"第3表食中毒事件・患者・死者数,原因施設・都道府県－保健所設置市及び特別区（再掲）別  都道府県名等 全国    2024年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,,,家庭,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,病院,,,病院,,,病院,,,病院,,,旅館,,,飲食店,,,販売店,,,製造所,,,仕出屋,,,採取場所,,,その他,,,不明,,
,,,,,,,総数,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,寄宿舎,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,事業所等,,,保育所,,,老人ホーム,,,,,,,,,,,,単独調理場,,,単独調理場,,,単独調理場,,,単独調理場,,,共同調理場,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,幼稚園,,,小学校,,,中学校,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
千葉県,26,373,-,1,1,-,3,57,-,-,-,-,1,33,-,2,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,18,291,-,1,1,-,-,-,-,1,14,-,-,-,-,-,-,-,1,4,-
東京都,114,1536,-,3,3,-,10,374,-,5,244,-,-,-,-,4,116,-,-,-,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,965,-,3,3,-,-,-,-,1,80,-,-,-,-,2,104,-,5,7,-
神奈川県,84,951,-,9,9,-,1,21,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,56,852,-,3,3,-,-,-,-,2,50,-,-,-,-,2,2,-,10,13,-
新潟県,22,240,-,5,6,-,1,49,-,-,-,-,-,-,-,-,-,-,-,-,-,1,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,1,16,-,-,-,-,-,-,-,-,-,-,7,125,-,1,15,-,1,3,-,1,21,-,-,-,-,-,-,-,5,5,-
富山県,18,123,-,3,6,-,1,22,-,-,-,-,-,-,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,8,84,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
石川県,20,276,-,-,-,-,2,62,-,-,-,-,-,-,-,2,62,-,-,-,-,-,-,-,1,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,11,173,-,4,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
福井県,13,79,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,5,31,-,3,3,-,-,-,-,1,17,-,-,-,-,-,-,-,1,1,-
山梨県,9,64,-,1,3,-,1,37,-,-,-,-,-,-,-,1,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,20,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,3,-
長野県,21,407,1,4,5,-,4,58,1,-,-,-,-,-,-,2,55,-,1,1,1,1,2,-,4,210,-,1,34,-,-,-,-,-,-,-,-,-,-,1,47,-,-,-,-,1,125,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,78,-,3,52,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
岐阜県,20,486,-,2,4,-,2,68,-,-,-,-,-,-,-,2,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
