都道府県,総数-事件,総数-患者,総数-死者,魚介類-総数-事件,魚介類-総数-患者,魚介類-総数-死者,貝類-事件,貝類-患者,貝類-死者,ふぐ-事件,ふぐ-患者,ふぐ-事件,魚介類-その他-事件,魚介類-その他-患者,魚介類-その他-死者,魚介類加工品-ぞ件,魚介類加工品-患者,魚介類加工品-死者,魚介類加工品-魚肉練り製品-事件,魚肉練り製品-患者,魚肉練り製品-死者,魚介類加工品-その他-事件,魚介類加工品-その他-患者,魚介類加工品-その他-死者,肉類及びその加工品-事件,肉類及びその加工品-患者,肉類及びその加工品-死者,卵類及びその加工品-事件,卵類及びその加工品-患者,卵類及びその加工品-死者,乳類及びその加工品-事件,乳類及びその加工品-患者,乳類及びその加工品-死者,穀類及びその加工品-事件,穀類及びその加工品-患者,穀類及びその加工品-死者,野菜及びその加工品-総数-事件,野菜及びその加工品-総数-患者,野菜及びその加工品-総数-死者,豆類-事件,豆類-患者,豆類-死者,きのこ類-事件,きのこ類-患者,きのこ類-死者,野菜及びその加工品-その他-事件,野菜及びその加工品-その他-患者,野菜及びその加工品-その他-死者,菓子類-事件,菓子類-患者,菓子類-死者,複合調理食品-事件,複合調理食品-患者,複合調理食品-死者,その他-総数-事件,その他-総数-患者,その他-総数-死者,その他-食品特定-事件,その他-食品特定-患者,その他-食品特定-死者,その他-食事特定-事件,その他-食事特定-患者,その他-食事特定-死者,不明-事件,不明-患者,不明-死者
福井県,13,79,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,1,21,-,5,48,-,1,2,-,4,46,-,1,1,-
山梨県,9,64,-,3,9,-,-,-,-,-,-,-,3,9,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,2,11,-,-,-,-,1,3,-,1,8,-,-,-,-,1,37,-,1,1,-,1,1,-,-,-,-,1,3,-
長野県,21,407,1,6,52,-,-,-,-,-,-,-,6,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,1,-,-,-,2,2,1,2,3,-,-,-,-,1,41,-,9,308,-,-,-,-,9,308,-,1,1,-
岐阜県,20,486,-,2,15,-,1,14,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,469,-,1,3,-,15,466,-,2,2,-
静岡県,13,315,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,314,-,1,74,-,11,240,-,-,-,-
愛知県,38,592,-,10,54,-,1,24,-,1,1,-,8,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,534,-,-,-,-,24,534,-,4,4,-
三重県,7,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,85,-,4,60,-,1,10,-,3,50,-,-,-,-
滋賀県,7,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,46,-,5,116,-,-,-,-,5,116,-,-,-,-
京都府,22,318,-,4,4,-,-,-,-,-,-,-,4,4,-,1,1,-,-,-,-,1,1,-,2,11,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,2,4,-,-,-,-,1,29,-,-,-,-,12,269,-,-,-,-,12,269,-,-,-,-
大阪府,49,718,-,3,13,-,-,-,-,-,-,-,3,13,-,2,43,-,-,-,-,2,43,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,4,148,-,37,507,-,2,15,-,35,492,-,2,6,-
兵庫県,35,875,-,1,1,-,-,-,-,-,-,-,1,1,-,1,29,-,-,-,-,1,29,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,1,24,-,1,150,-,29,668,-,1,28,-,28,640,-,1,1,-
奈良県,3,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15,-,2,13,-,-,-,-,2,13,-,-,-,-
和歌山県,11,265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,-,9,252,-,-,-,-,9,252,-,-,-,-
鳥取県,9,22,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,2,7,-,-,-,-,2,7,-,2,4,-
