,総数,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,ウイルス,,,ウイルス,,,ウイルス,,,寄生虫,,,寄生虫,,,寄生虫,,,寄生虫,,,寄生虫,,,化学物質,,,自然毒,,,自然毒,,,自然毒,,,その他,,,不明,,
,,,,総数,,,サルモネラ属菌,,,ぶどう球菌,,,ボツリヌス菌,,,腸炎ビブリオ,,,腸管出血性大腸菌（ＶＴ産生）,,,その他の病原大腸菌,,,ウエルシュ菌,,,セレウス菌,,,エルシニア・エンテロコリチカ,,,カンピロバクター・ジェジュニ／コリ,,,ナグビブリオ,,,コレラ菌,,,赤痢菌,,,チフス菌,,,パラチフスＡ菌,,,その他の細菌,,,総数,,,ノロウイルス,,,その他のウイルス,,,総数,,,クドア,,,サルコシスティス,,,アニサキス,,,その他の寄生虫,,,化学物質,,,総数,,,植物性自然毒,,,動物性自然毒,,,,,,,,
,総数-事件,総数-患者,総数-死者,細菌-総数-事件,細菌-総数-患者,細菌-総数-死者,サルモネラ菌-事件,サルモネラ菌-患者,サルモネラ菌-死者,ぶどう球菌-事件,ぶどう球菌-患者,ぶどう球菌-死者,ボツリヌス菌-事故,ボツリヌス菌-患者,ボツリヌス菌-死者,腸炎ビブリオ-事件,腸炎ビブリオ-患者,腸炎ビブリオ-死者,腸管出血性大腸菌（ＶＴ産生）-事件,腸管出血性大腸菌（ＶＴ産生）-患者,腸管出血性大腸菌（ＶＴ産生）-死者,その他の病原大腸菌-事件,その他の病原大腸菌-患者,その他の病原大腸菌-死者,ウエルシュ菌-事件,ウエルシュ菌-患者,ウエルシュ菌-死者,セレウス菌-事件,セレウス菌-患者,セレウス菌-死者,エルシニア・エンテロコリチカ-z事件,エルシニア・エンテロコリチカ-患者,エルシニア・エンテロコリチカ-死者,カンピロバクター・ジェジュニ／コリ-事件,カンピロバクター・ジェジュニ／コリ-患者,カンピロバクター・ジェジュニ／コリ-死者,ナグビブリオ-事件,ナグビブリオ-患者,ナグビブリオ-死者,コレラ菌-事件,コレラ菌-患者,コレラ菌-死者,赤痢菌-事件,赤痢菌-患者,赤痢菌-死者,チフス菌-事件,チフス菌-患者,チフス菌-死者,パラチフスＡ菌-事件,パラチフスＡ菌-患者,パラチフスＡ菌-死者,その他の細菌-事件,その他の細菌-患者,その他の細菌-死者,ウイルス-総数-事件,ウイルス-総数-患者,ウイルス-総数-死者,ノロウイルス-事件,ノロウイルス-患者,ノロウイルス-死者,その他のウイルス-事件,その他のウイルス-患者,その他のウイルス-死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
茨城県,15,89,-,8,29,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,1,7,-,-,-,-,-,-,-,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,36,-,2,36,-,-,-,-,4,19,-,1,16,-,-,-,-,3,3,-,-,-,-,-,-,-,1,5,-,1,5,-,-,-,-,-,-,-,-,-,-
栃木県,14,152,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,132,-,7,132,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
群馬県,12,401,-,4,156,-,-,-,-,1,42,-,-,-,-,-,-,-,-,-,-,-,-,-,2,106,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,241,-,5,241,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,3,-,2,3,-,-,-,-,-,-,-,-,-,-
埼玉県,16,343,-,7,200,-,-,-,-,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,4,178,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,140,-,6,140,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
千葉県,26,373,-,11,114,-,-,-,-,3,30,-,-,-,-,-,-,-,1,52,-,-,-,-,-,-,-,-,-,-,-,-,-,7,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,243,-,11,243,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,13,-
東京都,114,1536,-,40,402,-,1,3,-,2,26,-,-,-,-,-,-,-,2,7,-,-,-,-,7,164,-,1,38,-,-,-,-,26,152,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,36,1056,-,36,1056,-,-,-,-,35,52,-,1,18,-,-,-,-,34,34,-,-,-,-,2,22,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-
神奈川県,84,951,-,29,574,-,1,24,-,1,162,-,-,-,-,-,-,-,-,-,-,-,-,-,4,295,-,1,2,-,-,-,-,22,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,340,-,22,340,-,-,-,-,30,31,-,-,-,-,-,-,-,30,31,-,-,-,-,-,-,-,2,2,-,1,1,-,1,1,-,1,4,-,-,-,-
新潟県,22,240,-,4,84,-,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,-,-,-,-,-,-,-,1,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,132,-,7,132,-,-,-,-,6,16,-,1,11,-,-,-,-,5,5,-,-,-,-,1,3,-,4,5,-,4,5,-,-,-,-,-,-,-,-,-,-
富山県,18,123,-,1,4,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,48,-,2,48,-,-,-,-,14,49,-,2,37,-,-,-,-,11,11,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,-
石川県,20,276,-,6,123,-,-,-,-,1,12,-,-,-,-,-,-,-,1,17,-,1,29,-,2,62,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,139,-,6,139,-,-,-,-,6,6,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,1,7,-
福井県,13,79,-,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,44,-,3,44,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,1,4,-,1,4,-,-,-,-,-,-,-,1,13,-
